Year,Match,Country,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination
1982,France vs. West Germany,France,7,R,R,1,1,1,0
1982,France vs. West Germany,West Germany,9,R,C,1,1,2,0
1982,France vs. West Germany,France,6,R,L,1,1,3,0
1982,France vs. West Germany,West Germany,2,R,C,1,1,4,0
1982,France vs. West Germany,France,9,R,L,1,1,5,0
1982,France vs. West Germany,West Germany,4,R,L,1,0,6,0
1982,France vs. West Germany,France,8,L,L,1,0,7,0
1982,France vs. West Germany,West Germany,3,R,R,1,1,8,0
1982,France vs. West Germany,France,9,R,L,1,1,9,0
1982,France vs. West Germany,West Germany,9,R,C,1,1,10,1
1982,France vs. West Germany,France,7,R,L,1,0,11,0
1982,France vs. West Germany,West Germany,9,R,C,1,1,12,1
1986,Brazil vs. France,Brazil,4,R,L,1,0,1,0
1986,Brazil vs. France,France,2,R,R,1,1,2,0
1986,Brazil vs. France,Brazil,6,R,R,1,1,3,0
1986,Brazil vs. France,France,6,R,R,1,1,4,0
1986,Brazil vs. France,Brazil,8,R,L,1,1,5,0
1986,Brazil vs. France,France,9,L,R,1,1,6,0
1986,Brazil vs. France,Brazil,4,L,R,1,1,7,0
1986,Brazil vs. France,France,1,R,R,0,0,8,0
1986,Brazil vs. France,Brazil,7,R,L,0,0,9,0
1986,Brazil vs. France,France,7,R,R,1,1,10,1
1986,West Germany vs. Mexico,West Germany,1,L,R,1,1,1,0
1986,West Germany vs. Mexico,Mexico,6,L,L,1,1,2,0
1986,West Germany vs. Mexico,West Germany,8,L,L,1,1,3,0
1986,West Germany vs. Mexico,Mexico,8,R,L,1,0,4,0
1986,West Germany vs. Mexico,West Germany,7,R,L,1,1,5,0
1986,West Germany vs. Mexico,Mexico,7,R,L,1,0,6,0
1986,West Germany vs. Mexico,West Germany,4,R,L,1,1,7,1
1986,Spain vs. Belgium,Spain,7,R,R,1,1,1,0
1986,Spain vs. Belgium,Belgium,9,R,L,1,1,2,0
1986,Spain vs. Belgium,Spain,7,R,L,1,0,3,0
1986,Spain vs. Belgium,Belgium,4,R,R,1,1,4,0
1986,Spain vs. Belgium,Spain,1,R,L,1,1,5,0
1986,Spain vs. Belgium,Belgium,7,R,R,1,1,6,0
1986,Spain vs. Belgium,Spain,1,R,L,1,1,7,0
1986,Spain vs. Belgium,Belgium,5,L,R,1,1,8,0
1986,Spain vs. Belgium,Spain,1,R,R,1,1,9,1
1986,Spain vs. Belgium,Belgium,5,R,L,1,1,10,1
1990,Romania vs. Ireland,Romania,3,L,R,1,1,1,0
1990,Romania vs. Ireland,Ireland,2,L,R,1,1,2,0
1990,Romania vs. Ireland,Romania,9,R,R,1,1,3,0
1990,Romania vs. Ireland,Ireland,9,R,L,1,1,4,0
1990,Romania vs. Ireland,Romania,4,L,L,1,1,5,0
1990,Romania vs. Ireland,Ireland,7,L,R,1,1,6,0
1990,Romania vs. Ireland,Romania,1,R,L,1,1,7,0
1990,Romania vs. Ireland,Ireland,8,L,L,1,1,8,0
1990,Romania vs. Ireland,Romania,7,R,L,1,0,9,0
1990,Romania vs. Ireland,Ireland,6,R,l,1,1,10,1
1990,Argentina vs. Yugoslavia,Argentina,6,R,L,1,1,1,0
1990,Argentina vs. Yugoslavia,Yugoslavia,1,R,R,0,0,2,0
1990,Argentina vs. Yugoslavia,Argentina,1,R,R,1,1,3,0
1990,Argentina vs. Yugoslavia,Yugoslavia,4,R,R,1,1,4,0
1990,Argentina vs. Yugoslavia,Argentina,7,L,L,1,0,5,0
1990,Argentina vs. Yugoslavia,Yugoslavia,7,L,R,1,1,6,0
1990,Argentina vs. Yugoslavia,Argentina,3,R,L,0,0,7,0
1990,Argentina vs. Yugoslavia,Yugoslavia,7,R,L,1,0,8,0
1990,Argentina vs. Yugoslavia,Argentina,7,R,C,1,1,9,0
1990,Argentina vs. Yugoslavia,Yugoslavia,6,R,R,1,0,10,1
1990,Italy vs. Argentina,Italy,8,R,R,1,1,1,0
1990,Italy vs. Argentina,Argentina,5,R,L,1,1,2,0
1990,Italy vs. Argentina,Italy,4,R,L,1,1,3,0
1990,Italy vs. Argentina,Argentina,8,R,R,1,1,4,0
1990,Italy vs. Argentina,Italy,4,L,L,1,1,5,0
1990,Italy vs. Argentina,Argentina,9,R,L,1,1,6,0
1990,Italy vs. Argentina,Italy,6,R,R,1,0,7,0
1990,Italy vs. Argentina,Argentina,7,L,R,1,1,8,0
1990,Italy vs. Argentina,Italy,9,L,R,1,0,9,1
1990,England vs. West Germany,England,7,R,R,1,1,1,0
1990,England vs. West Germany,West Germany,7,R,L,1,1,2,0
1990,England vs. West Germany,England,6,R,R,1,1,3,0
1990,England vs. West Germany,West Germany,4,R,L,1,1,4,0
1990,England vs. West Germany,England,1,R,L,1,0,5,0
1990,England vs. West Germany,West Germany,6,R,R,1,1,6,0
1990,England vs. West Germany,England,8,L,L,1,0,7,0
1990,England vs. West Germany,West Germany,6,R,R,1,1,8,0
1990,England vs. West Germany,England,1,L,L,0,0,9,1
1994,Mexico vs. Bulgaria,Mexico,2,L,R,0,0,1,0
1994,Mexico vs. Bulgaria,Bulgaria,4,L,l,1,0,2,0
1994,Mexico vs. Bulgaria,Mexico,9,R,R,1,0,3,0
1994,Mexico vs. Bulgaria,Bulgaria,2,R,R,1,1,4,0
1994,Mexico vs. Bulgaria,Mexico,7,R,L,1,0,5,0
1994,Mexico vs. Bulgaria,Bulgaria,1,R,L,1,1,6,0
1994,Mexico vs. Bulgaria,Mexico,9,R,C,1,1,7,0
